song_id,annotator,chorus_start,chorus_end,chorus_duration,SONG_TITLE,ARTIST,CLASS,GENRE,Genre_itunes,Album,file_path
1003,2,89.722358276,118.502698412,28.780340136000007,Im_Moving_On,Big_Water,Live_Music_Archive,,,,../data/audio_files/processed/1003.mp3
1003,1,107.144058956,118.560272108,11.416213152000012,Im_Moving_On,Big_Water,Live_Music_Archive,,,,../data/audio_files/processed/1003.mp3
1003,1,153.137029478,176.392086167,23.255056689000014,Im_Moving_On,Big_Water,Live_Music_Archive,,,,../data/audio_files/processed/1003.mp3
1003,2,210.783990929,239.428344671,28.644353741999993,Im_Moving_On,Big_Water,Live_Music_Archive,,,,../data/audio_files/processed/1003.mp3
1004,1,74.257414965,112.743106575,38.48569161,Fearless,Big_Whiskey,Live_Music_Archive,,,,../data/audio_files/processed/1004.mp3
1004,1,206.094399092,242.670430839,36.576031747,Fearless,Big_Whiskey,Live_Music_Archive,,,,../data/audio_files/processed/1004.mp3
1005,1,67.921269841,90.730453514,22.809183673000007,Shedlife,Billy_Midnight,Live_Music_Archive,,,,../data/audio_files/processed/1005.mp3
1005,1,127.986303854,150.820430839,22.83412698500001,Shedlife,Billy_Midnight,Live_Music_Archive,,,,../data/audio_files/processed/1005.mp3
1005,1,183.634444444,221.916961451,38.282517006999996,Shedlife,Billy_Midnight,Live_Music_Archive,,,,../data/audio_files/processed/1005.mp3
1006,2,63.002426303,89.810226757,26.807800453999995,The_Navy_Song,Billy_Talent,Live_Music_Archive,,,,../data/audio_files/processed/1006.mp3
1006,1,124.906984126,151.695442176,26.788458050000003,The_Navy_Song,Billy_Talent,Live_Music_Archive,,,,../data/audio_files/processed/1006.mp3
1006,1,158.426916099,178.659546485,20.232630385999983,The_Navy_Song,Billy_Talent,Live_Music_Archive,,,,../data/audio_files/processed/1006.mp3
1006,1,192.179138321,245.259024943,53.079886621999975,The_Navy_Song,Billy_Talent,Live_Music_Archive,,,,../data/audio_files/processed/1006.mp3
1011,1,38.166439909,47.219160997,9.052721088000006,Ride_,BlissNinnies,Live_Music_Archive,,,,../data/audio_files/processed/1011.mp3
1011,1,74.387755102,83.536190476,9.148435374000002,Ride_,BlissNinnies,Live_Music_Archive,,,,../data/audio_files/processed/1011.mp3
1011,1,125.978480725,134.989206349,9.010725624000003,Ride_,BlissNinnies,Live_Music_Archive,,,,../data/audio_files/processed/1011.mp3
1012,1,46.792380952,75.341179138,28.548798186,Lucky_to_Know_You,Blue_Merle,Live_Music_Archive,,,,../data/audio_files/processed/1012.mp3
1012,1,103.525668934,132.136802721,28.611133787000014,Lucky_to_Know_You,Blue_Merle,Live_Music_Archive,,,,../data/audio_files/processed/1012.mp3
1012,1,187.168321995,215.862675736,28.694353740999986,Lucky_to_Know_You,Blue_Merle,Live_Music_Archive,,,,../data/audio_files/processed/1012.mp3
1013,1,60.267210884,105.69723356,45.430022676,Those_Get_Me_Outta_Here_Blues,Blue_Sky_Red,Live_Music_Archive,,,,../data/audio_files/processed/1013.mp3
