song_id,annotator,timestamp,function
1000,1,0.0,Silence
1000,1,0.049342403,Intro
1000,1,8.848639455,no_function
1000,1,23.935464852,Verse
1000,1,35.661428571,no_function
1000,1,50.780544217,Verse
1000,1,62.76462585,no_function
1000,1,76.574353741,Solo
1000,1,172.408163265,Solo
1000,1,300.81494331,no_function
1000,1,317.868458049,Verse
1000,1,329.737800453,no_function
1000,1,359.325895691,no_function
1000,1,399.518072562,End
1000,2,0.0,silence
1000,2,0.371519274,Intro
1000,2,8.846802721,Pre-Verse
1000,2,24.009433106,Verse
1000,2,72.562358276,Transition
1000,2,76.509750566,Solo
1000,2,168.623310657,Transition
1000,2,172.501043083,Solo
1000,2,296.867120181,Transition
1000,2,302.672108843,Pre-Verse
1000,2,317.881179138,Verse
1000,2,337.316281179,Outro
1000,2,358.771519274,no_function
1000,2,399.51494331,End
1003,1,0.0,Silence
1003,1,0.0,silence
1003,1,43.56063492,Intro
1003,1,66.992426303,Verse
1003,1,89.808163265,Bridge
1003,1,107.144058956,Chorus
1003,1,118.560272108,Verse
1003,1,141.28047619,Bridge
1003,1,153.137029478,Chorus
1003,1,176.392086167,Instrumental
1003,1,187.880385487,Verse
1003,1,210.856281179,Bridge
1003,1,228.176712018,Chorus
1003,1,228.176712018,Outro
1003,1,277.912562358,no_function
1003,1,303.83154195,End
1003,1,303.83154195,Silence
1003,2,0.0,silence
1003,2,43.547891156,Intro
1003,2,67.365396825,Verse
1003,2,89.722358276,Chorus
1003,2,118.502698412,Verse
1003,2,141.164897959,Bridge
1003,2,176.225918367,Transition
1003,2,187.682108843,Verse
1003,2,210.783990929,Chorus
1003,2,239.428344671,Outro
1003,2,278.01047619,no_function
1003,2,303.865192743,End
1004,1,0.0,Silence
1004,1,0.04063492,no_function
1004,1,0.580498866,Intro
1004,1,4.2492517,Interlude
1004,1,30.161292517,Transition
1004,1,44.891995464,Verse
1004,1,74.257414965,Pre-Chorus
1004,1,81.816281179,Chorus
1004,1,112.743106575,Transition
1004,1,119.733038548,Interlude
1004,1,148.788049886,Interlude
1004,1,170.421315192,Transition
1004,1,177.560136054,Verse
1004,1,206.094399092,Pre-Chorus
1004,1,213.184535147,Chorus
1004,1,242.670430839,Transition
1004,1,249.557732426,Interlude
1004,1,276.217777777,no_function
1004,1,288.049342403,Silence
1004,1,288.078367346,End
1005,1,0.0,Silence
1005,1,0.048979591,no_function
1005,1,5.59600907,Intro
1005,1,17.203764172,Verse
1005,1,42.858276643,Verse
1005,1,67.921269841,Pre-Chorus
1005,1,74.955396825,Chorus
1005,1,90.730453514,Solo
1005,1,103.08324263,Verse
1005,1,127.986303854,Pre-Chorus
1005,1,135.096371882,Chorus
1005,1,150.820430839,Solo
1005,1,174.997755102,Bridge
1005,1,183.634444444,Chorus
1005,1,200.143424036,Chorus
1005,1,221.916961451,no_function
1005,1,233.351836734,End
1006,1,0.0,Silence
1006,1,0.048979591,Intro
1006,1,13.712222222,Verse
1006,1,27.951111111,Bridge
1006,1,34.903265306,Verse
1006,1,49.182290249,Bridge
1006,1,63.062539682,Chorus
1006,1,89.894217687,Bridge
1006,1,96.859478458,Verse
1006,1,111.048299319,Bridge
1006,1,124.906984126,Chorus
1006,1,151.695442176,Bridge
1006,1,158.426916099,Chorus
1006,1,178.659546485,Bridge
1006,1,192.179138321,Chorus
1006,1,218.715079365,Chorus
1006,1,245.259024943,Outro
1006,1,255.069387755,no_function
1006,1,258.094126984,End
1006,1,258.094126984,Silence
1006,2,0.0,silence
1006,2,0.557278911,Intro
1006,2,13.639931972,Verse
1006,2,27.898344671,Transition
1006,2,34.884603174,Verse
1006,2,49.065147392,Transition
1006,2,63.002426303,Chorus
1006,2,89.810226757,Transition
1006,2,96.734897959,Verse
1006,2,110.921065759,Transition
1006,2,124.938888888,Chorus
1006,2,151.584965986,Bridge
1006,2,178.5792517,Transition
1006,2,192.19956916,Chorus
1006,2,218.668911564,Chorus
1006,2,245.252312925,Outro
1006,2,255.091428571,no_function
1006,2,258.108208616,End
1007,1,0.0,Silence
1007,1,0.032653061,Intro
1007,1,17.600725623,Verse
1007,1,43.576870748,Verse
1007,1,69.674829931,Bridge
1007,1,88.411587301,Instrumental
1007,1,114.443877551,Verse
1007,1,140.268049886,Chorus
1007,1,154.995782312,Outro
1007,1,161.772040816,no_function
1007,1,173.665306122,Silence
1007,1,173.724761904,End
1007,2,0.0,Silence
1007,2,0.029024943,no_function
1007,2,2.578095238,Intro
1007,2,17.742834467,Verse
1007,2,69.840839002,Bridge
1007,2,88.445374149,Interlude
1007,2,114.890022675,Verse
1007,2,163.770725623,no_function
1007,2,173.714263038,End
1008,1,0.0,Silence
1008,1,0.375510204,Intro
1008,1,12.691269841,no_function
1008,1,71.088979591,Bridge
1008,1,112.905895691,no_function
1008,1,129.665827664,Bridge
1008,1,179.63292517,Bridge
1008,1,188.955056689,no_function
1008,1,254.994920634,Bridge
1008,1,263.290657596,no_function
1008,1,296.701179138,Bridge
1008,1,401.045079365,Outro
1008,1,419.934693877,Silence
1008,1,419.972698412,End
1008,2,0.0,Silence
1008,2,0.377324263,Intro
1008,2,12.474603174,no_function
1008,2,100.519160997,no_function
1008,2,179.792086167,no_function
1008,2,246.549455782,no_function
1008,2,296.681315192,no_function
1008,2,419.970589569,End
1011,1,0.0,Silence
1011,1,1.346757369,no_function
1011,1,8.452063492,Intro
1011,1,11.238458049,Instrumental
1011,1,20.189773242,Verse
1011,1,38.166439909,Chorus
1011,1,47.219160997,Instrumental
1011,1,56.23802721,Verse
1011,1,74.387755102,Chorus
1011,1,83.536190476,Interlude
1011,1,85.898276643,Bridge
1011,1,102.980498866,Interlude
1011,1,107.587369614,Verse
1011,1,125.978480725,Chorus
1011,1,134.989206349,Interlude
1011,1,146.532970521,Bridge
1011,1,170.094716553,Interlude
1011,1,184.055396825,Solo
1011,1,352.502131519,Coda
1011,1,368.832448979,no_function
1011,1,374.770068027,Silence
1011,1,375.719183673,End
1012,1,0.0,Silence
1012,1,0.044897959,no_function
1012,1,0.557278911,Intro
1012,1,4.134376417,Instrumental
1012,1,18.339229024,Verse
1012,1,46.792380952,Chorus
1012,1,75.341179138,Verse
1012,1,103.525668934,Chorus
1012,1,132.136802721,Bridge
